rawContent,Note
"@bbctamil If I have already short breath (No COVID) or asthma type issues, can I take the vaccine?what precautions to be taken before vaccination?",shortness_of_breath
"If you have any symptoms of coronavirus (COVID-19), however mild, you should seek advice and get tested. Symptoms include: fever, chills, cough, sore throat, shortness of breath, runny nose, loss or change in sense of smell or taste. Find out more at: https://t.co/NuPp5fG49Q https://t.co/Ya1flbxKgT","fever, chills, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"COVID symptoms timeline:
Many people will have no or mild symptoms 
Others:
Day 1-3 No symptoms
Day 4-5 Symptoms starts (common: Fever- any degree, dry cough-koshi araagothah, shortness of breath, loss of taste &amp; smell)
Day from the symptoms start to day 10 - severity increase 1/","no_symptoms,fever, dry_cough,shortness_of_breath,loss_of_smell,loss_of_taste"
"If you have any symptoms, get tested and stay home:

🔸Fever, chills or sweats
🔸Cough or sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste

Find out more information on #COVID-19 and testing at https://t.co/37TD7U85gU https://t.co/cEONSxRJZt","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"If you have any of these symptoms, however mild, get tested:
🔸Fever, chills or sweats
🔸Cough
🔸Sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste
Find out where to get tested at ➡️ https://t.co/eC2Bhiz1C2 https://t.co/SeSr6p1Xpt","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"If you have any of these symptoms, however mild, get tested:
🔸Fever, chills or sweats
🔸Cough
🔸Sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste
Find out where to get tested at ➡️ https://t.co/eC2Bhiz1C2 https://t.co/hxorbQpUFX","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"The typical symptoms to look out for include:
•a new or worsening cough
•fever (at least 38˚C)
•shortness of breath
•a sore throat
•sneezing and runny nose
•and temporary loss of smell.","cough, fever, shortness_of_breath, sore_throat, sneezing, runny_nose, loss_of_smell"
"If you or anyone you know is developing symptoms of COVID-19 such as fever, dry cough, sore throat, shortness of breath, loss of taste or smell - call 158 NOW! 

#FijiNews #TeamFiji #FijianGovernment #Fiji https://t.co/MgXUmZQk5L","fever, dry_cough, sore_throat, shortness_of_breath, loss_of_taste,loss_of_smell"
"Inform healthcare providers if they are seeking care for COVID-19 symptoms (e.g. fever, cough, myalgia, fatigue, headache, shortness of breath, loss of smell or taste, sore throat or other) 4 by calling ahead of time.
#PakArmyServingNation
@OfficeOfPVF","fever,cough,myalgia,fatigue,headache,shortness_of_breath, loss_of_taste,lost_of_smell, sore_throat"
"The typical symptoms to look out for include:

- a new or worsening cough
- fever (at least 38˚C)
- shortness of breath
- a sore throat
- sneezing and runny nose
- and temporary loss of smell.","cough, fever, shortness_of_breath, sore_throat, sneezing, runny_nose, loss_of_smell"
"If you have any of these symptoms, however mild, get tested:
🔸Fever, chills or sweats
🔸Cough
🔸Sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste
Find out where to get tested at ➡️ https://t.co/eC2Bhiz1C2 https://t.co/tRnIf75nDF","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"Do you have one or more of the following symptoms? 🤒
🟥 Fever
🟥 Chills or sweats
🟥 Cough
🟥 Sore throat
🟥 Shortness of breath
🟥 Runny rose
🟥 Loss/change in sense of smell or taste
Please get tested! We continue to offer COVID-19 testing @ NRCH this weekend from 10am to 4pm. https://t.co/t7h5nCbenu","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"So, im pretty sure, no fuck that, im positive that ive had covid already. It all comes down to that Inhaler... they said my lungs sounded like their was fluid or something in them. I was wheezing, short of breath, coughing fits..","wheezing, short_of_breath, cough"
"@a_md735 @WillMalin @ameyandandy @chrisallen236 @spencermorgan93 to type etc.. I've had shortness of breath, which I didn't have during Covid, an endless sore throat, brain fog, no taste/smell. I've never experienced anything like it. I've had 21 surgeries in my life..almost every single one of them was easier than Covid.","shortness_of_breath, sore_throat, brain_fog, no_taste, no_smell"
"@OlyBackstrom I dislike that we call people who had covid, but no longer test positive for it as “recovered”

“Recovered” implies the person is back to their regular pre-covid health.

My mom had covid from Sept - Nov &amp; still suffers from fatigue &amp; being short of breath.","fatigue, shortness_of_breath"
"The typical symptoms to look out for include: 
- a new or worsening cough
- fever (at least 38˚C)
- shortness of breath
- a sore throat
- sneezing and runny nose
- and temporary loss of smell.","cough, fever, shortness_of_breath, sore_throat, sneezing, runny_nose, loss_of_smell"
"Symptoms of COVID-19 can include fever, a new or worsening cough, sore throat, shortness of breath, and decrease or loss of taste or smell. Ontarians can take a COVID-19 self-assessment through the Province’s website at https://t.co/0BN24a5QVA https://t.co/9AV36R1mrH","fever, cough, sore_throat, shortness_of_breath, loss_of_taste, loss_of_smell"
"@jennyrickson @WayneGoodman82 My A symptomatic daughter give it to myself and my husband. He got flu like I was in bed for 2 days, struggling for breath, had no smell or taste and I still have a cough 5 weeks later.
2 family members died, one aged 74 and one aged just 61.
61, think about that.","shortness_of_breath, no_taste, no_smell, cough"
"@somewherein84 Or the UK, or the USA. That granny needs to stop watching Sky News. Ask how she'd feel if she was in an isolation ward, no family visitors, short of breath, feeling like shit, and knowing she's about to die a lonely, painful death. That's the reality of out of control Covid-19.",shortness_of_breath
"@ShaydenBettrid1 Get tested if you have any of the following, no matter how mild:
Fever (≥37.50C) OR recent history of fever (e.g. night sweats, chills), without a known source
Acute respiratory symptoms (including cough, shortness of breath, sore throat, runny nose)
Acute loss of smell or taste","fever, night_sweats,chills, shortness_of_breath, sore_throat, runny_nose,loss_of_taste, loss_of_smell"
"The typical symptoms to look out for include:
• a new or worsening cough
• fever (at least 38˚C)
• shortness of breath
• a sore throat
• sneezing and runny nose
• and temporary loss of smell.","cough, fever, shortness_of_breath, sore_throat, sneezing, runny_nose, loss_of_smell"
"If you've any symptoms get tested and stay home:
✔ Fever, chills or sweats
✔ Cough
✔ Sore throat
✔ Shortness of breath
✔ Runny nose
✔ Loss of sense of smell or taste
And remember you can get financial help while you wait for your results. Info https://t.co/hsRKyyHg3A https://t.co/g7SEL0M0rs","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"From two weeks me and my family are covid positive 
Going for test again after two days 
I was fine from one week but from yesterday night feeling feverish, low
Upar se cough 
Again weakness
Not feel like eating 
No smell 
Bitter taste 
😭😣","fever, cough, weakness, loss_of_appetite, no_smell, bitter_taste"
"If you have any of these symptoms, however mild, get tested:
🔸Fever, chills or sweats
🔸Cough
🔸Sore throat
🔸Shortness of breath
🔸Runny nose
🔸Loss of sense of smell or taste
Find out where to get tested at ➡️ https://t.co/eC2Bhiz1C2 https://t.co/JLmlMhgGfZ","fever, chills, sweats, cough, sore_throat, shortness_of_breath, runny_nose, loss_of_smell, loss_of_taste"
"In addition to the common presentations of fever, headache, cough, and shortness of breath, COVID-19 can also present as a mild, afebrile illness with symptoms including sore throat, myalgia, and alterations in the sense of taste or smell. https://t.co/Tavywk8WQR","fever,cough,myalgia,fatigue,headache,shortness_of_breath, loss_of_taste,lost_of_smell, sore_throat"
"We all must take individual responsibility for stopping the spread of this virus. Everyone should recognise the symptoms by now. The typical symptoms of COVID-19 include fatigue, fever, sore throat, cough, shortness of breath, body aches, or a sudden loss of taste or smell. https://t.co/ejaHrJUrxc","fatigue, fever, sore_throat, cough, shortness_of_breath, body_aches"
"@elgaaen @NBCNews Covid symptoms:
*Fever
*Dry cough
*Tiredness
*Aches and pains
*Sore throat
*Diarrhea
*Conjunctivitis
*Headache
*Loss of taste or smell
*a rash
Serious symptoms:
*Difficulty breathing or shortness of breath
*Chest pain or pressure
*Loss of speech of movement","fever, dry_cough, tiredness, aches_and_pains, sore_throat, diarrhea, conjunctivitis, headache, loss_of_taste_or_smell, rash, difficulty_breathing, shortness_of_breath, chest_pain, chest_pressure, loss_of_speech, loss_of_movement"
